Transaction,Item,date_time,period_day,weekday_weekend
1,New Bread,30-10-2016 09:58,morning,weekend
2,New Scandinavian,30-10-2016 10:05,morning,weekend
2,New Scandinavian,30-10-2016 10:05,morning,weekend
3,New Hot chocolate,30-10-2016 10:07,morning,weekend
3,New Jam,30-10-2016 10:07,morning,weekend
3,New Cookies,30-10-2016 10:07,morning,weekend
4,New Muffin,30-10-2016 10:08,morning,weekend
5,New Coffee,30-10-2016 10:13,morning,weekend
5,New Pastry,30-10-2016 10:13,morning,weekend
5,New Bread,30-10-2016 10:13,morning,weekend
6,New Medialuna,30-10-2016 10:16,morning,weekend
6,New Pastry,30-10-2016 10:16,morning,weekend
6,New Muffin,30-10-2016 10:16,morning,weekend
7,New Medialuna,30-10-2016 10:19,morning,weekend
7,New Pastry,30-10-2016 10:19,morning,weekend
7,New Coffee,30-10-2016 10:19,morning,weekend
7,New Tea,30-10-2016 10:19,morning,weekend
8,New Pastry,30-10-2016 10:20,morning,weekend
8,New Bread,30-10-2016 10:20,morning,weekend
9,New Bread,30-10-2016 10:21,morning,weekend
9,New Muffin,30-10-2016 10:21,morning,weekend
10,New Scandinavian,30-10-2016 10:25,morning,weekend
10,New Medialuna,30-10-2016 10:25,morning,weekend
11,New Bread,30-10-2016 10:27,morning,weekend
11,New Medialuna,30-10-2016 10:27,morning,weekend
11,New Bread,30-10-2016 10:27,morning,weekend
12,New Jam,30-10-2016 10:30,morning,weekend
12,New Coffee,30-10-2016 10:30,morning,weekend
12,New Tartine,30-10-2016 10:30,morning,weekend
12,New Pastry,30-10-2016 10:30,morning,weekend
12,New Tea,30-10-2016 10:30,morning,weekend
13,New Basket,30-10-2016 10:31,morning,weekend
13,New Bread,30-10-2016 10:31,morning,weekend
13,New Coffee,30-10-2016 10:31,morning,weekend
14,New Bread,30-10-2016 10:32,morning,weekend
14,New Medialuna,30-10-2016 10:32,morning,weekend
14,New Pastry,30-10-2016 10:32,morning,weekend
15,New Mineral water,30-10-2016 10:34,morning,weekend
15,New Scandinavian,30-10-2016 10:34,morning,weekend
16,New Bread,30-10-2016 10:37,morning,weekend
